treat,sp,wgi_mean,wgi_sd
NonMoulting,Hirundo,0,0
NonMoulting,Pycnonotus,0,0
Moulting,Passer,5.9,2.0922597879824
NonMoulting,Passer,0,0
Manipulated,Hirundo,10.1111111111111,2.52212432507026
Manipulated,Passer,12.5625,3.46350015639286
Moulting,Acrocephalus,9.5,1.38169855941552
NonMoulting,Acrocephalus,0,0
Moulting,Pycnonotus,4.94736842105263,1.37442604081796
Manipulated,Pycnonotus,13.4642857142857,2.34887116870972
Moulting,Hirundo,4.3,0.948683298050514
Manipulated,Acrocephalus,17.8,1.09544511501033
